Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","11.6228","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","13.3059","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1971","1971","3050","FAO TIER 1","kilotonnes","14.5684","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1975","1975","3050","FAO TIER 1","kilotonnes","14.5079","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1981","1981","3050","FAO TIER 1","kilotonnes","14.7527","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1985","1985","3050","FAO TIER 1","kilotonnes","10.6732","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1991","1991","3050","FAO TIER 1","kilotonnes","9.3445","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","1995","1995","3050","FAO TIER 1","kilotonnes","11.4072","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","2001","2001","3050","FAO TIER 1","kilotonnes","12.1998","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","2005","2005","3050","FAO TIER 1","kilotonnes","18.49","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","2011","2011","3050","FAO TIER 1","kilotonnes","26.1599","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","2015","2015","3050","FAO TIER 1","kilotonnes","24.8209","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","26.1252","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1961","1961","3050","FAO TIER 1","kilotonnes","0.8839","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1965","1965","3050","FAO TIER 1","kilotonnes","0.9683","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1971","1971","3050","FAO TIER 1","kilotonnes","1.0534","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1975","1975","3050","FAO TIER 1","kilotonnes","1.0221","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1981","1981","3050","FAO TIER 1","kilotonnes","0.9846","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1985","1985","3050","FAO TIER 1","kilotonnes","0.7187","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1991","1991","3050","FAO TIER 1","kilotonnes","0.7114","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","1995","1995","3050","FAO TIER 1","kilotonnes","0.7289","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","2001","2001","3050","FAO TIER 1","kilotonnes","0.7871","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","2005","2005","3050","FAO TIER 1","kilotonnes","0.8989","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","2011","2011","3050","FAO TIER 1","kilotonnes","1.1903","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","2015","2015","3050","FAO TIER 1","kilotonnes","1.1229","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kilotonnes","1.0882","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kilotonnes","0.8762","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kilotonnes","0.8978","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kilotonnes","0.8093","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kilotonnes","1.0138","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kilotonnes","0.8766","Fc","Calculated data",""
